Depth [m],TIME,Temperature [degrees_C],Northward velocity [m s-1],Eastward velocity [m s-1],Salinity [1e-3],LAT,LON,STATION
2.6456689834594727,2020-07-25 12:00:00,8.966320061220822,-0.19767506868689255,0.07150366371425436,31.677837367614746,53.533,-55.145,SI-04
3.8194949626922607,2020-07-25 12:00:00,8.6643644436854,-0.2130570061425922,0.06365804563183985,31.721417046857866,53.533,-55.145,SI-04
5.078224182128906,2020-07-25 12:00:00,8.215844341042995,-0.22876792619399836,0.048689362720633914,31.796856709681588,53.533,-55.145,SI-04
6.440614223480225,2020-07-25 12:00:00,7.713010714868519,-0.23736930126681954,0.029962609340133693,31.88702429854603,53.533,-55.145,SI-04
7.92956018447876,2020-07-25 12:00:00,7.202401127152506,-0.23857479910905144,0.011917646643571351,31.97367392423511,53.533,-55.145,SI-04
9.572997093200684,2020-07-25 12:00:00,6.689737665334139,-0.23373944469823843,-0.0031200609168672124,32.04883900708442,53.533,-55.145,SI-04
11.404999732971191,2020-07-25 12:00:00,6.155111857980741,-0.22502032921214338,-0.013561113057358545,32.11392276309866,53.533,-55.145,SI-04
13.467140197753906,2020-07-25 12:00:00,5.558489406883927,-0.21421553703893687,-0.019868111474982873,32.1743075990375,53.533,-55.145,SI-04
15.810070037841797,2020-07-25 12:00:00,4.878235011251181,-0.2028718085063322,-0.022321180207692838,32.23670852440927,53.533,-55.145,SI-04
18.495559692382812,2020-07-25 12:00:00,4.10620658526933,-0.19262120447995762,-0.021228045201978837,32.30779789198825,53.533,-55.145,SI-04
21.598819732666016,2020-07-25 12:00:00,3.2553888730783256,-0.18361150969770645,-0.018513758815855097,32.3929378142725,53.533,-55.145,SI-04
25.211410522460938,2020-07-25 12:00:00,2.3659428593533844,-0.17637006748699782,-0.01554491743465294,32.49402290716918,53.533,-55.145,SI-04
29.444730758666992,2020-07-25 12:00:00,1.5006829273196365,-0.16903469742535815,-0.013027745522926546,32.61362959903708,53.533,-55.145,SI-04
34.43415069580078,2020-07-25 12:00:00,0.7262295928469336,-0.160814240095332,-0.01121679807575435,32.75041809134317,53.533,-55.145,SI-04
40.344051361083984,2020-07-25 12:00:00,0.10411277463032423,-0.15112039599468605,-0.009519955539424195,32.90380163672452,53.533,-55.145,SI-04
47.37369155883789,2020-07-25 12:00:00,-0.3186915751146959,-0.13969128697249825,-0.00782311300309404,33.06859619130253,53.533,-55.145,SI-04
55.76428985595703,2020-07-25 12:00:00,-0.5249516000087419,-0.1266397796901583,-0.0058736279561284015,33.23493602615976,53.533,-55.145,SI-04
65.80726623535156,2020-07-25 12:00:00,-0.5261702009144469,-0.1120117131380993,-0.0035353198835600132,33.394557220187444,53.533,-55.145,SI-04
77.85385131835938,2020-07-25 12:00:00,-0.3866282272310449,-0.09720669810707266,2.1816082468416884e-05,33.5468831688735,53.533,-55.145,SI-04
92.3260726928711,2020-07-25 12:00:00,-0.18648931353880363,-0.08280017889647504,0.004252168681321359,33.69639869310634,53.533,-55.145,SI-04
109.72930145263672,2020-07-25 12:00:00,0.04197549184851916,-0.06917240728982024,0.008612039136806224,33.842545029494715,53.533,-55.145,SI-04
130.66600036621094,2020-07-25 12:00:00,0.2643090918690404,-0.05799277752235216,0.010463757423726216,33.956172231689884,53.533,-55.145,SI-04
